% Model:              板.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 12 2022, 11:15
% Dimension:          2
% Nodes:              1225
% Expressions:        1
% Description:        表面
% surf1x                  surf1y                   电流密度模
14.705882352941178        11.764705882352947       41.2147805755184
17.647058823529413        11.764705882352942       43.60238069406857
14.705882352941174        14.705882352941178       43.229461723676096
17.647058823529413        14.705882352941174       44.952163092266716
20.588235294117652        14.705882352941174       46.226040649822906
23.529411764705877        14.705882352941174       47.0380197275507
20.588235294117645        17.647058823529417       46.89891094285374
23.529411764705873        17.647058823529406       47.33836461751003
14.705882352941178        26.470588235294123       47.40892539684665
17.647058823529413        26.470588235294123       47.40310425885581
14.705882352941178        29.411764705882373       47.303967768845105
17.647058823529417        29.411764705882355       47.08711699208796
20.58823529411765         26.470588235294112       47.226188647111606
20.588235294117645        29.411764705882355       46.72730969184774
14.705882352941174        32.352941176470615       46.80233285336899
17.647058823529406        32.35294117647057        46.44510792836725
14.705882352941172        35.29411764705884        45.98557632015911
17.647058823529417        35.29411764705885        45.529259030979155
20.588235294117645        11.764705882352942       45.39938479186003
23.529411764705877        11.764705882352946       46.612139941260665
26.470588235294105        11.76470588235294        47.247234101939625
26.470588235294112        14.705882352941174       47.3800455528008
23.529411764705873        8.823529411764708        46.11760771134647
26.470588235294105        8.823529411764712        47.04214717742187
11.764705882352942        0                        29.95878064720945
14.705882352941174        0                        35.36359511411754
11.76470588235294         2.941176470588237        30.689419888966484
14.705882352941172        2.9411764705882373       35.84643552858754
11.76470588235294         5.882352941176473        32.67102232288939
14.705882352941172        5.882352941176473        37.18547987018959
11.76470588235294         8.823529411764712        35.3999397193531
14.705882352941172        8.82352941176471         39.08021157400014
11.76470588235294         11.764705882352942       38.40478537817956
20.588235294117645        8.823529411764707        44.500025491067376
17.647058823529413        5.882352941176469        40.901758630996305
17.647058823529413        8.823529411764712        42.16440863356266
29.411764705882348        11.76470588235294        47.358141889870566
29.411764705882348        14.705882352941174       47.27467009571557
32.35294117647057         11.76470588235294        47.015234966808165
32.35294117647058         14.705882352941174       46.78115690681402
35.29411764705883         11.764705882352946       46.29676571722178
35.29411764705883         14.705882352941174       45.961437150650056
29.411764705882344        8.82352941176471         47.3543137688137
32.35294117647057         8.82352941176471         47.152247663691426
35.294117647058826        8.823529411764712        46.5304697650266
26.470588235294105        5.882352941176468        46.835483137762886
29.411764705882344        5.88235294117647         47.31782905044297
32.35294117647057         5.88235294117647         47.22978869018924
35.294117647058826        5.882352941176471        46.681734361020524
29.411764705882348        0                        47.26942473010206
32.35294117647058         0                        47.26806346447792
29.411764705882344        2.941176470588237        47.281059432111746
32.35294117647059         2.9411764705882364       47.26166232464501
38.23529411764706         8.823529411764708        45.57153057641295
38.235294117647065        11.764705882352946       45.27757786992904
38.23529411764706         5.88235294117647         45.7722490683754
41.17647058823529         5.882352941176473        44.592277515223515
41.17647058823529         8.823529411764708        44.36401002903599
35.29411764705884         2.941176470588237        46.767102728970116
38.23529411764706         2.9411764705882364       45.88709099214279
41.1764705882353          2.9411764705882364       44.7256994249169
35.29411764705883         0                        46.79534252975208
38.235294117647065        0                        45.925467503109665
44.11764705882352         5.88235294117647         43.21654226657824
44.11764705882352         8.823529411764712        42.97757197997663
47.05882352941175         5.88235294117647         41.701099262905394
47.05882352941175         8.823529411764712        41.45900544130358
41.1764705882353          0                        44.769450467407026
50                        5.88235294117647         40.09830790522487
50                        8.82352941176471         39.85916889859505
52.941176470588246        0                        38.636996704045856
55.88235294117648         0                        36.95237494018655
52.94117647058824         2.9411764705882364       38.58850556657981
55.88235294117649         2.9411764705882364       36.908194816975005
50.000000000000014        0                        40.28804543156737
50.00000000000003         2.9411764705882364       40.24104530096259
8.82352941176471          2.9411764705882373       24.675854584020136
8.823529411764707         5.882352941176471        27.576761664408654
8.823529411764708         0                        23.578896200100516
76.47058823529414         0                        25.92261901293385
79.41176470588238         0                        24.53009171860669
76.47058823529416         2.941176470588237        25.89507636041752
79.41176470588238         2.941176470588237        24.504284656885684
82.35294117647061         0                        23.181448591882532
82.35294117647062         2.941176470588237        23.157279197502874
11.76470588235294         35.29411764705883        46.32590985562
11.764705882352938        38.23529411764707        45.29089383673791
14.705882352941178        38.235294117647086       44.89390356670715
11.76470588235294         32.35294117647061        47.03820365796362
8.82352941176471          32.35294117647061        47.185121434275324
8.82352941176471          35.29411764705885        46.561281522588146
8.82352941176471          38.235294117647086       45.586047945927056
8.82352941176471          41.17647058823531        44.37906362345128
11.764705882352946        41.176470588235304       44.05009145070235
8.823529411764708         44.11764705882354        42.975595028603536
11.764705882352946        44.11764705882356        42.632527195350995
17.647058823529413        17.64705882352942        46.09338456252593
14.705882352941172        17.647058823529413       44.954341712648954
14.705882352941172        23.52941176470589        47.07431833894891
17.64705882352942         23.52941176470589        47.35740225665148
20.588235294117645        23.52941176470589        47.432494194121446
14.705882352941172        20.588235294117656       46.24376157269929
17.647058823529406        20.588235294117652       46.90542054775351
20.58823529411764         20.58823529411765        47.30976042181294
11.764705882352942        14.705882352941172       41.21037194026775
11.76470588235294         17.647058823529413       43.60032972903838
11.764705882352938        20.588235294117652       45.41288278193983
8.823529411764707         17.64705882352942        42.186488311753465
8.823529411764707         20.588235294117656       44.53642816988588
11.764705882352942        23.529411764705895       46.644080411996036
11.764705882352946        29.411764705882355       47.394387884335615
8.82352941176471          29.411764705882355       47.39745436960429
11.764705882352938        26.47058823529413        47.28212674008737
8.82352941176471          26.47058823529412        47.08158750218171
8.82352941176471          23.52941176470589        46.15432534134399
